feature,coef,abs_coef
cp,0.11115099467608551,0.11115099467608551
exang,0.10689518202503759,0.10689518202503759
sex,0.09318334273309549,0.09318334273309549
oldpeak,0.0910071559639801,0.0910071559639801
thalach,-0.04897007791000107,0.04897007791000107
missingindicator_slope,-0.046312796330086524,0.046312796330086524
slope,0.043646425430204916,0.043646425430204916
missingindicator_restecg,0.04264758705002271,0.04264758705002271
chol,0.032196497205493134,0.032196497205493134
trestbps,0.021077628238340158,0.021077628238340158
restecg,0.01284693971081655,0.01284693971081655
missingindicator_chol,-0.01191316912345773,0.01191316912345773
missingindicator_fbs,-0.009848613562426202,0.009848613562426202
age,0.008635582776419029,0.008635582776419029
fbs,-0.006587767434309148,0.006587767434309148
missingindicator_thalach,-0.0026216508221848338,0.0026216508221848338
missingindicator_exang,-0.002621650822184832,0.002621650822184832
missingindicator_trestbps,-0.0026216508221848147,0.0026216508221848147
