column_imputed,feature,mean_abs_shap_on_imputed_rows
trestbps,thalach,23.308205
trestbps,chol,6.0174503
trestbps,sex,3.9590123
trestbps,age,1.8993856
trestbps,restecg,1.2389537
trestbps,exang,1.1931545
trestbps,oldpeak,1.1311445
trestbps,cp,0.50526357
trestbps,slope,0.5014578
trestbps,fbs,0.1787435
chol,age,13.702217
chol,thalach,8.993404
chol,trestbps,7.7678375
chol,oldpeak,6.6005645
chol,cp,6.4590774
chol,sex,4.761113
chol,exang,4.2021995
chol,restecg,3.7013032
chol,fbs,1.1010255
chol,slope,0.7268513
fbs,age,1.2724884
fbs,chol,0.7985811
fbs,trestbps,0.6862963
fbs,thalach,0.42290294
fbs,slope,0.34353465
fbs,cp,0.28907323
fbs,exang,0.28508693
fbs,oldpeak,0.25425935
fbs,restecg,0.11804974
fbs,sex,0.09274808
restecg,cp,0.2191267
restecg,sex,0.10920235
restecg,age,0.039531954
exang,cp,1.6431867
exang,thalach,1.4859494
exang,age,0.8651925
exang,oldpeak,0.62051743
exang,chol,0.5318527
exang,slope,0.31520227
exang,trestbps,0.2737107
exang,sex,0.24470323
exang,restecg,0.07486209
exang,fbs,0.03530387
thalach,slope,6.968556
thalach,cp,5.514263
thalach,chol,4.500308
thalach,oldpeak,3.7539299
thalach,age,3.4290974
thalach,exang,3.3386238
thalach,trestbps,2.725441
thalach,restecg,1.3398763
thalach,sex,0.38209325
thalach,fbs,0.3356506
slope,age,0.4077172
slope,sex,0.3738003
slope,cp,0.1819556
